[0.000000] (-) TimerEvent: {}
[0.000323] (-) JobUnselected: {'identifier': 'arduinobot_py_examples'}
[0.000358] (-) JobUnselected: {'identifier': 'arm_description'}
[0.000374] (-) JobUnselected: {'identifier': 'arm_moveit'}
[0.000387] (-) JobUnselected: {'identifier': 'chomp_motion_planner'}
[0.000398] (-) JobUnselected: {'identifier': 'moveit'}
[0.000410] (-) JobUnselected: {'identifier': 'moveit_common'}
[0.000422] (-) JobUnselected: {'identifier': 'moveit_configs_utils'}
[0.000433] (-) JobUnselected: {'identifier': 'moveit_core'}
[0.000443] (-) JobUnselected: {'identifier': 'moveit_hybrid_planning'}
[0.000454] (-) JobUnselected: {'identifier': 'moveit_kinematics'}
[0.000465] (-) JobUnselected: {'identifier': 'moveit_planners'}
[0.000476] (-) JobUnselected: {'identifier': 'moveit_planners_chomp'}
[0.000487] (-) JobUnselected: {'identifier': 'moveit_planners_ompl'}
[0.000497] (-) JobUnselected: {'identifier': 'moveit_planners_stomp'}
[0.000507] (-) JobUnselected: {'identifier': 'moveit_plugins'}
[0.000518] (-) JobUnselected: {'identifier': 'moveit_py'}
[0.000528] (-) JobUnselected: {'identifier': 'moveit_resources_prbt_ikfast_manipulator_plugin'}
[0.000538] (-) JobUnselected: {'identifier': 'moveit_resources_prbt_moveit_config'}
[0.000548] (-) JobUnselected: {'identifier': 'moveit_resources_prbt_pg70_support'}
[0.000565] (-) JobUnselected: {'identifier': 'moveit_resources_prbt_support'}
[0.000575] (-) JobUnselected: {'identifier': 'moveit_ros'}
[0.000586] (-) JobUnselected: {'identifier': 'moveit_ros_benchmarks'}
[0.000596] (-) JobUnselected: {'identifier': 'moveit_ros_control_interface'}
[0.000606] (-) JobUnselected: {'identifier': 'moveit_ros_move_group'}
[0.000616] (-) JobUnselected: {'identifier': 'moveit_ros_occupancy_map_monitor'}
[0.000630] (-) JobUnselected: {'identifier': 'moveit_ros_perception'}
[0.000657] (-) JobUnselected: {'identifier': 'moveit_ros_planning'}
[0.000667] (-) JobUnselected: {'identifier': 'moveit_ros_planning_interface'}
[0.000675] (-) JobUnselected: {'identifier': 'moveit_ros_robot_interaction'}
[0.000684] (-) JobUnselected: {'identifier': 'moveit_ros_tests'}
[0.000692] (-) JobUnselected: {'identifier': 'moveit_ros_trajectory_cache'}
[0.000700] (-) JobUnselected: {'identifier': 'moveit_ros_visualization'}
[0.000708] (-) JobUnselected: {'identifier': 'moveit_ros_warehouse'}
[0.000717] (-) JobUnselected: {'identifier': 'moveit_runtime'}
[0.000725] (-) JobUnselected: {'identifier': 'moveit_servo'}
[0.000733] (-) JobUnselected: {'identifier': 'moveit_setup_app_plugins'}
[0.000741] (-) JobUnselected: {'identifier': 'moveit_setup_assistant'}
[0.000749] (-) JobUnselected: {'identifier': 'moveit_setup_controllers'}
[0.000757] (-) JobUnselected: {'identifier': 'moveit_setup_core_plugins'}
[0.000765] (-) JobUnselected: {'identifier': 'moveit_setup_framework'}
[0.000773] (-) JobUnselected: {'identifier': 'moveit_setup_srdf_plugins'}
[0.000781] (-) JobUnselected: {'identifier': 'moveit_simple_controller_manager'}
[0.000789] (-) JobUnselected: {'identifier': 'pilz_industrial_motion_planner'}
[0.000797] (-) JobUnselected: {'identifier': 'pilz_industrial_motion_planner_testutils'}
[0.000806] (-) JobUnselected: {'identifier': 'robotic_arm_moveit_config'}
[0.000960] (-) EventReactorShutdown: {}
